metadata: addition UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: partID,overview: additions,locus: locus,locus: from,locus: to,people: author name(s),people: author ID(s),people: scribe name(s),people: scribe ID(s),people: signer name(s),people: signer ID(s),people: former owner name(s),people: former owner ID(s),people: other person name(s),people: other person ID(s),bibliography: bibl(s),bibliography: title(s),bibliography: ref(s),bibliography: ref URI(s)
Persian_MS_327_addition_1,manuscript_6821,,Persian_MS_327,,manuscript,,Persian_MS_327,"Inscriptions: Occasional marginalia, some seemingly in the same hand as the text bounded by marginal ruling, with other hands as well. The right flyleaf a side (f. ia) bears an anecdote quoting a visit by medieval Sufi master Abū Bakr Shiblī (861–946) to a hospital in Baghdad written diagonally at top-right, with variant couplets ascribed to Ḥafiẓ (fl. 14th c.) at top-left, followed by two unidentified couplets, another variant excerpt from a ghazal ascribed to Kamāl al-Dīn Ismā‘īl Iṣfahānī (ca. 1172–1237), and Jalāl al-Dīn Rūmī (1207–1273). Folios 241a and b inscribed with a magic square that attributed to Abū Bakr Shiblī (861–946), that it instructs be engraved upon a signet bezel on the first Thursday in the month of Rajab. Bookplates: Folio 242b bears the Bibliotheca Lindesiana bookplate with pencilled shelfmark 2/K, and Bland MSS No. 547, with the name and number crossed out and Persian and 327 written aside.",242b; right flyleaf a side (f. ia); 241a and b,242b ia 241a,242b ia 241b,,,,,,,,,,,,,,
Persian_MS_328_addition_1,manuscript_6822,,Persian_MS_328,,manuscript,,Persian_MS_328,"Table of Contents: The third to ninth right flyleaves a sides (ff. iiia– ixa) lists the names of poets within the volume. Inscriptions: On the first right flyleaf a side, various pencilled notes by prior owners and booksellers with prices and identifiers: S.2657; 4452; £3.3; 5/27; 6/6/0; 1.11.6. On the ninth right flyleaf b side No. 15. Elegant Extracts, and the same number repeated again on 1a in the same hand. While unsigned, both closely comport with other similar inscriptions by Sir Gore Ouseley. Rs, and Taẕkīrat al-Shu‘arā written in nasta'liq script. Bookplates and Catalogue Entry: Right pastedown: pasted catalogue entry of booksellers Howell and Stewart: 197 Tezkireh as Shoara, Elegant Extracts from a numerous list of Ancient and Modern Persian Authors, Persian, very neatly written on variously tinted paper, 4to, in the original embossed gilt Persian binding, 3l. 3s. This volume is rarely to be met with in this country, and highly esteemed in the East. Left pastedown: Bibliotheca Lindesiana shelf mark F/10and Bland MSS No. 548.",third to ninth right flyleaves a sides (ff. iiia– ixa); first right flyleaf a side; ninth right flyleaf b side; 1a; Right pastedown; Left pastedown,iiia ia ixb 1a Inner_front_cover Inner_back_cover,ixa ia ixb 1a Inner_front_cover Inner_back_cover,,,,,,,Sir Gore Ouseley,person_44733962,Howell and Stewart,person_1555163159917201640001,,,,
Persian_MS_33_addition_1,manuscript_6824,,Persian_MS_33,,manuscript-composite,,Persian_MS_33,"Bookplates: The left paste-down : Bibliotheca Lindesiana with shelfmark 2/E, and Bland MSS No. 43, with the name and number crossed out and Persian and 33 written aside.",left paste-down,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_330_addition_1,manuscript_6825,,Persian_MS_330,,manuscript-composite,,Persian_MS_330,"Inscriptions: Various partially legible notations on right and left pastedowns. The first right flyleaf (f. ia), top-right quotes a quatrain by Abū Saʻīd ibn Abī al-Khayr (967-1049), while the lower-left bears a partially legible notation by a former owner, possibly dated 12 Rabī‘ II 1250 AH (18 Aug. 1834 CE). Bookplates: The left pastedown: Bibliotheca Lindesiana with shelfmark 1/G, and Bland MSS No. 550, with the name and number crossed out and Persian and 330 written aside.",left pastedown; right; left ; first right flyleaf (f. ia),Inner_back_cover Inner_back_cover Inner_back_cover ia,Inner_back_cover Inner_back_cover Inner_back_cover ib,,,,,,,,,,,,,,
Persian_MS_332_addition_1,manuscript_6827,,Persian_MS_332,,manuscript,,Persian_MS_332,Inscriptions: Folio 1a Furj [sic.] bad az shiddat – ‘pleasure after pain’. Translated from an Arabic work now lost – a highly balanced and outstanding work – written in Persian.,1a,1a,1a,,,,,,,,,,,,,,
Persian_MS_333_addition_1,manuscript_6828,,Persian_MS_333,,manuscript,,Persian_MS_333,"Marginalia: notes and remarks in various hands throughout. Inscriptions: the first right flyleaf a side (f. ia) bears the title in Persian, نسخه نزهت الرواح, a transliteration, Nuzutalravah and transltaion into French as Alrevah ou la Soirée. Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark , and Bland MSS No. 553.",first right flyleaf a side (f. ia); left pastedown,ia Inner_back_cover,ia Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_337_addition_1,manuscript_6832,,Persian_MS_337,,manuscript,,Persian_MS_337,"Marginalia: Occasional notes in various hands, with those in Latin indicate the beginning of each Book. Inscriptions: Folio 1b signed by Jean Chardin.A number 1.Æ which partially appears under Hindley's bookplate, may pertain to Chardin's library (full number confirmed by Rylands' Imaging). Bookplates and Labels: The left pastedown: John Haddon Hindley, Howell and Stewart, Bibliotheca Lindesiana with pencilled shelfmark 2/H, and Bland MSS No. 557 with the name and number crossed out and Persian and 311 written aside.",left pastedown; 1b,Inner_back_cover 1b,Inner_back_cover 1b,,,,,,,John Haddon Hindley; Jean Chardin; Hindley; Chardin,person_92189357 person_49223162,,,,,,
Persian_MS_338_addition_1,manuscript_6833,,Persian_MS_338,,manuscript,,Persian_MS_338,"Inscription: Folio 1a: signed W Oliver by former owner William Oliver (d. 1847). Bookplates: The left paste-down: Bibliotheca Lindesiana with shelfmark >2/JG, and Bland MSS No. 558, with the name and number crossed out and Persian and 338 written aside.",1a; left paste-down,1a Inner_back_cover,1a Inner_back_cover,,,,,,,William Oliver (d. 1847),person_f6463,,,,,,
Persian_MS_34_addition_1,manuscript_6835,,Persian_MS_34,,manuscript,,Persian_MS_34,"Marginalia: Pencilled notes in the margins appear to be in the hand of former owner Nathaniel Bland (1803-1865). Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark F/4, and Bland MSS No. 44, with the name and number crossed out and Persian and 34 written aside.",Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,Nathaniel Bland (1803-1865),person_20108923,,,,,,
Persian_MS_340_addition_1,manuscript_6836,,Persian_MS_340,,manuscript,,Persian_MS_340,"Marginalia: Copious notes throughout in the hand of Sir William Jones. Inscriptions: The first right flyleaf a side (f. ia) signed: S. H. Lewin, 1831 by former owner Bot at the sale of Lady Jones's booksSamuel Hawtayne Lewin, who adds: Sir W.. m Jones mentions this MS. in Works 8.vo Ed.n Vol. 13 p. 366 and gives Extracts—Another inscribed in Jones' hand serves as a half-title: The Upanishad or Chapters or the Véda, on the Being and Attributes of GOD translated by the Prince Dárá Shucúh, Y.H. 1067 Y.C. 1656 compared with the original. W. Jones. Folio 329a, by the colophon, bears three dated notes in Sir William Jones's hand: Negligently Ccollated amd corrected by ,Rájá Anandrám a learned Pandit, agent for the Minster of the Vaz eír'Asafuddaulah, at Lac'hnaú, whence it was sent by Col. ,Polier and recevied by me at ,Ra∫sapaágla 3 May 1785 A second note underneath adds: Góverdhana informs me that He Po∫se∫es the Sanscrĭt Original of Ten of this work, called Upanishads 21 Dec. 1786 adding So do I and more 1793 In miniscule pencile, Samuel Hawtayne Lewin adds: See Sir W. Jones .Works Vol. 13th 8.vop. 366 Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/H, and Bland MSS No. 560 with the name and number crossed out and Persian and 340 written aside.",left pastedown; first right flyleaf a side (f. ia); 329a,Inner_back_cover ia 329a,Inner_back_cover ia 329a,,,,,,,Sir William Jones; Samuel Hawtayne Lewin; Jones; Sir William Jones; Samuel Hawtayne Lewin,person_102326800 person_f3620,Góverdhana,,,,,
Persian_MS_342_addition_1,manuscript_6838,,Persian_MS_342,,manuscript,,Persian_MS_342,"Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 2/G, and Bland MSS No. 562.",left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_343_addition_1,manuscript_6839,,Persian_MS_343,,manuscript,,Persian_MS_343,"Inscriptions: Folio 1a: Top: at left, Nº 21. Middle: pencilled note: Bought at Sacender’s saleroom. نزهة الاسفار by محمد سمرقندی for سلطان محمد عثمانی Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark F/6, and Bland MSS No. 563, with the name and number crossed out and Persian and 343 written aside.",1a; left pastedown,1a Inner_back_cover,1a Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_346_addition_1,manuscript_6842,,Persian_MS_346,,manuscript-composite,,Persian_MS_346,Inscription: Folio 1a pencilled: Resala Surud Treatise on Music. Bookplates: Left paste-down: Bibliotheca Lindesiana with shelfmark 2/J.,1a; Left paste-down,1a Inner_back_cover,1a Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_347_addition_1,manuscript_6843,,Persian_MS_347,,manuscript,,Persian_MS_347,Inscriptions: Folio 1a: which someone later crossed out and wrote underneath: Asul-un-Nughmah: the origins of melodies or soundsA work on musical sounds. Folio 79b: pencilled with the number 53907(?)10. Folio 82b: pencilled number 89+/2. Bookplates: Left paste-down: Bibliotheca Lindesiana with shelfmark 2/C.,Left paste-down; 1a; 79b; 82b,Inner_back_cover 1a 79b 82b,Inner_back_cover 1a 79b 82b,,,,,,,,,,,,,,
Persian_MS_348_addition_1,manuscript_6844,,Persian_MS_348,,manuscript,,Persian_MS_348,"Inscriptions: The first right flyleaf a and b sides (ff. ia–b) bears several pencilled prices and sale marks. The fourth right flyleaf b side (f. ivb) inscribed: Nº 16 Treatise on Music (with the word Indian pencilled between them), probably in the hand of Sir Gore Ouseley which comports with other volumes that he Folio 1a bears an obliterated note in Persian, partly legible, mentions the names of ‘Alīkhān Mushīr al-Mamālik and Mīrzā Qāsim ‘Alī Khān.Folio 1b underneath where torn off on the top right corner, bears the bottoms of the letters G and y, very likely the signature of former owner Sir Gore Ouseley. Bookplates and Pasted Items: The right pastedown bears an unidentified pasted sale catalogue entry: TREATISE ON INDIAN MUSIC, in Persian, very neatly fol. written, in excellent conditionneat, 3. 3s. Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 2/G, and with the name and number crosed out and Bland MSS No. 568Persian and 348 written aside.",first right flyleaf a and b sides (ff. ia–b); fourth right flyleaf b side (f. ivb); 1a; 1b; right pastedown; Left pastedown,ia ivb 1a 1b Inner_front_cover Inner_back_cover,ia ivb 1a 1b Inner_front_cover Inner_back_cover,,,,,,,Sir Gore Ouseley; Sir Gore Ouseley,person_44733962,‘Alīkhān Mushīr al-Mamālik; Mīrzā Qāsim ‘Alī Khān,,,,,
Persian_MS_35_addition_1,manuscript_6846,,Persian_MS_35,,manuscript,,Persian_MS_35,"Inscriptions: Folio 319b bears an unsigned note dated Saturday, 13 Jumādà II 1167 AH (7 April 1754 CE).",319b,319b,319b,,,,,,,,,,,,,,
Persian_MS_351_addition_1,manuscript_6848,,Persian_MS_351,,manuscript,,Persian_MS_351,Bookplate: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 2/F.,Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_355_addition_1,manuscript_6852,,Persian_MS_355,,manuscript,,Persian_MS_355,"Bookplates and Pasted Items: The Left pastedown bears an unidentified (possibly Cochran?) pasted catalogue entry that advertises the set for £4 4shillings.The Left pastedown bears the Sotheby's sale entry for the set, as well as the Bibliotheca Lindesiana bookplate with shelfmark 1/K, with the name and number crossed out and Bland MSS No. 575Persian and 355 written aside.",Left pastedown; Left pastedown,Inner_fron_cover Inner_back_cover,Inner_front_cover Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_356_addition_1,manuscript_6853,,Persian_MS_356,,manuscript,,Persian_MS_356,Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 1/K and Bland MSS No. 576 with the name and number crossed out and Persian and 356 written aside.,Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_357_addition_1,manuscript_6854,,Persian_MS_357,,manuscript,,Persian_MS_357,Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 1/K and Bland MSS No. 577 with the name and number crossed out and Persian and 357 written aside.,Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_358_addition_1,manuscript_6855,,Persian_MS_358,,manuscript,,Persian_MS_358,"Bookplates and Pasted Items: The Left pastedown bears an unidentified (possibly Straker?) pasted catalogue entry .The Left pastedown bears the Sotheby's sale entry for the set, as well as the Bibliotheca Lindesiana bookplate with shelfmark 1/K, with the name and number crossed out and Bland MSS No. 578Persian and 358 written aside.",Left pastedown; Left pastedown,Inner_fron_cover Inner_back_cover,Inner_front_cover Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_359_addition_1,manuscript_6856,,Persian_MS_359,,manuscript,,Persian_MS_359,Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 1/K and Bland MSS No. 579 with the name and number crossed out and Persian and 359 written aside.,Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_360_addition_1,manuscript_6858,,Persian_MS_360,,manuscript,,Persian_MS_360,"Inscriptions: The first right folio b side (f. ib) numbered 94/3, possibly pertains to bookseller William Straker , and folio 87b) numbered 286, which corresponds with Jospeh Butterworth Bulmer Clarke's 1835 catalogue entry. Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 2/K, and Bland MSS No. 580 with the name and number crossed out and Persian and 360 written aside.",first right folio b side (f. ib); 87b); Left pastedown,ib 87b Inner_back_cover,ib 87b Inner_back_cover,,,,,,,Jospeh Butterworth Bulmer Clarke,person_79253656,,,,,,
Persian_MS_361_addition_1,manuscript_6859,,Persian_MS_361,,manuscript,,Persian_MS_361,"Inscriptions: Folio 1a numbered: 286 2 corresponding with Jospeh Butterworth Bulmer Clarke's 1835 catalogue entry. Folio 41b dated Feb. 1800 dedicated to Rev. Adam Clarke Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 2/K, and Bland MSS No. 581 with the name and number crossed out and Persian and 361 written aside.",1a; 41b; Left pastedown,1a 41b Inner_back_cover,1a 41b Inner_back_cover,,,,,,,Jospeh Butterworth Bulmer Clarke; Rev. Adam Clarke,person_79253656 person_120696480,,,,,,
Persian_MS_362_addition_1,manuscript_6860,,Persian_MS_362,,manuscript,,Persian_MS_362,"Inscriptions: Folio 102b numbered: 286 3 corresponding with Jospeh Butterworth Bulmer Clarke's 1835 catalogue entry. Bookplates: The Left pastedown bears the Bibliotheca Lindesiana bookplate with shelfmark 2/K, and Bland MSS No. 582 with the name and number crossed out and Persian and 362 written aside.",102b ; Left pastedown,102b Inner_back_cover,102b Inner_back_cover,,,,,,,Jospeh Butterworth Bulmer Clarke,person_79253656,,,,,,
Persian_MS_364_addition_1,manuscript_6862,,Persian_MS_364,,manuscript-composite,,Persian_MS_364,"Marginalia: Various comments in Persian in various hands thoughout written in both ink and pencil. Inscriptions: Folio iia: Borrowed(?) 3 Nov. 1836 by Prince Ogynski.Folio 1a: Note by former owner John Staples Harriott (1780–1839): J. S. Harriott- The Jame-Jehan Numa of Maulvi Abul Qasim of Sasan in Persia- rec'd Calcutta, Feb. 1817. Folio 27a: Note stating Horace Heyman Wilson (d. 1860) borrowed the volume: The original is lent to Dr. H. H. Wilson. Tartarian Prophet and Legislator- from Arabic ms. 1823. Tarikh Hist: of ShakMuni. Tarjumah-'i Tārīkh-i Shākmūnī bizabān-i Pārsī az Javāmi‘ al-Tavārīkh-i ‘Arabī. Bookplates: The left paste-down: Bibliotheca Lindesiana with shelf mark F/9, and Bland MSS No. 469, with the name and number crossed out and Persian and 364 written aside.",left paste-down; Folio iia; 1a; Folio 27a,Inner_back_cover iia 1a 27a,Inner_back_cover iia 1a 27a,,,,,,,John Staples Harriott (1780–1839),person_315627218,Prince Ogynski; Horace Heyman Wilson (d. 1860),person_19797398,,,,
Persian_MS_369_addition_1,manuscript_6867,,Persian_MS_369,,manuscript,,Persian_MS_369,"Table of Contents: The third to fourth right flyleaves (ff. iiia–iva) lists the contents with corresponding folio numbers. Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/E, and Hamilton MSS No. 286 with the name and number crossed out and Persian and 369 written aside.",third to fourth right flyleaves (ff. iiia–iva); Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_37_addition_1,manuscript_6868,,Persian_MS_37,,manuscript,,Persian_MS_37,"Bookplates: The Left pastedown: Bibliotheca Lindesiana with shelfmark F/5, Bland MSS No. 47 with the name and number crossed out and Persian and 37 written aside.",Left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_376_addition_1,manuscript_6874,,Persian_MS_376,,manuscript,,Persian_MS_376,"Marginalia: Extensive notations in various hands throughout. Bookplates: on the left pastedown: Bibliotheca Lindesiana with pencilled shelfmark , and Bland MSS No. 293 with the name and number crossed out and Persian and 376 written aside.",left pastedown,Inner_back_cover,Inner_back_cover,,,,,,,,,,,,,,
Persian_MS_378_addition_1,manuscript_6876,,Persian_MS_378,,manuscript,,Persian_MS_378,"Table of Contents: listed on the second left flyleaf a and b sides (ff. iia–iib). Inscriptions: The first right flyleaf a side (f. ia) bears the Persian title, volume number, and author's name and penname, likely in the hand of Muhīn Dās, assistant to former owner George William Hamilton . Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/B, and Hamilton MSS No. 295, with the name and number crossed out and Persian and 378 written aside.",second left flyleaf a and b sides (ff. iia–iib); first right flyleaf a side (f. ia); Left pastedown,iia ia Inner_back_cover,iib ia Inner_back_cover,,,,,,,George William Hamilton,person_f830,,,,,,
Persian_MS_379_addition_1,manuscript_6877,,Persian_MS_379,,manuscript,,Persian_MS_379,"Table of Contents: listed on the first to third left flyleaves a and b sides (ff. ia–iiia). Inscriptions: The fourth right flyleaf a side (f. ia) bears the Persian title and volume number, likely in the hand of Muhīn Dās, assistant to former owner George William Hamilton. Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/B, and Hamilton MSS No. 296, with the name and number crossed out and Persian and 379 written aside.",first to third left flyleaves a and b sides (ff. ia–iiia); fourth right flyleaf a side (f. ia); Left pastedown,iia iva Inner_back_cover,iib iva Inner_back_cover,,,,,,,George William Hamilton,person_f830,,,,,,
Persian_MS_380_addition_1,manuscript_6879,,Persian_MS_380,,manuscript,,Persian_MS_380,"Inscriptions: The right flyleaf a side (f. ia) bears the Persian title, contents, author's name, with the name of former owner George William Hamilton, likely in the hand of his Muhīn Dās. Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/C, and Hamilton MSS No. 297, with the name and number crossed out and Persian and 380 written aside.",right flyleaf a side (f. ia); Left pastedown,ia Inner_back_cover,ia Inner_back_cover,,,,,,,George William Hamilton,person_f830,,,,,,
Persian_MS_384_addition_1,manuscript_6883,,Persian_MS_384,,manuscript,,Persian_MS_384,"Inscriptions: The first right flyleaf a side (f. ia) bears the title, author, and date of the manuscript's completion, likely in the hand of Muhīn Dās, assistant to former owner Colonel George William Hamilton. Folio 274a Persian acquisition notation dated 8 Rabī‘ I 1180 AH (17 May 1690 CE): (؟).بسالی هشتم شهر ربیغ الاول سنه ۱۱۰۱ روز پنجشنبه رو قصبه دیواری از مطالع و اصلاح(؟) الفاظ این کتاب فراغ دسر داد آن شی بملله تولی کلی صاحب الیهم . Bookplates: Left doublure, Bibliotheca Lindesiana with shelf mark 2/I and Hamilton MSS 301.",first right flyleaf a side (f. ia); 274a; Left doublure,ia 274a Inside_back_cover,ia 274s Inside_back_cover,,,,,,,Colonel George William Hamilton,person_f830,,,,,,
Persian_MS_39_addition_1,manuscript_6886,,Persian_MS_39,,manuscript,,Persian_MS_39,"Inscription: The final left flyleaf a side (f. iva) bears several pencilled inscriptions, presumably in the hand of former owner Nathaniel Bland, which includes an illegible price paid for the volume, then identifies it as formerly Sir Gore Ouseley's 72 Drawings 3 Dº loose(?) _ 75 places for 10 more & 3 blank pages . Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark F/6, and Bland MSS No. 49.",final left flyleaf a side (f. iva); left pastedown,iva Inner_back_cover,iva Inner_back_cover,,,,,,,Nathaniel Bland; Sir Gore Ouseley's,person_20108923 person_44733962,,,,,,
Persian_MS_391_addition_1,manuscript_6888,,Persian_MS_391,,manuscript,,Persian_MS_391,"Table of Contents: written in another compartively hasty hand on the second to third right flyleaves (ff. iia–iiib). Inscription: The first right flyleaf a side (f. ia) bears the title of the volume and the name of former owner Colonel George William Hamilton. Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/C, and Hamilton MSS No. 308 with the name and number crossed out and Persian and 391 written aside.",the second to third right flyleaves (ff. iia–iiib); first right flyleaf a side (f. ia); left pastedown,iia ia Inner_back_cover,iiib ia Inner_back_cover,,,,,,,Colonel George William Hamilton,person_f830,,,,,,
Persian_MS_392_addition_1,manuscript_6889,,Persian_MS_392,,manuscript,,Persian_MS_392,"Inscriptions: The first right flyleaf a side (f. ia) bears the title of the volume and the name of former owner Colonel George William Hamilton. Folio 1a bears an undated, partially obliterated nasta‘līq inscription by former owner Āqā Muḥammad Kāẓim, son of Muḥammad Hādī Iṣfahānī, which he also signed twice with his tughra (calligraphic name emblem) above and below. A munājāt prayer in a bold nasta'liq hand trimmed off at the fore-edge. Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/C, and Hamilton MSS No. 309 with the name and number crossed out and Persian and 392 written aside.",left pastedown; first right flyleaf a side (f. ia); 1a,Inner_back_cover ia 1a,Inner_back_cover ia 1a,,,,,,,"Colonel George William Hamilton; Āqā Muḥammad Kāẓim, son of Muḥammad Hādī Iṣfahānī",person_f830,,,,,,
Persian_MS_393_addition_1,manuscript_6890,,Persian_MS_393,,manuscript,,Persian_MS_393,"Inscriptions: The first right flyleaf a side (f. ia) bears the title of the volume and the name of former owner Colonel George William Hamilton. Folio 103b bears two quatrains, in bold nasta'liq hand, with one trimmed off at the fore-edge, in the same hand as the companion volume, . Persian MS 392 Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/C, and Hamilton MSS No. 310 with the name and number crossed out and Persian and 393 written aside.",left pastedown; first right flyleaf a side (f. ia); 103b,Inner_back_cover ia 103b,Inner_back_cover ia 103b,,,,,,,Colonel George William Hamilton,person_f830,,,,,Persian MS 392,https://www.fihrist.org.uk/catalog/manuscript_6889
Persian_MS_394_addition_1,manuscript_6891,,Persian_MS_394,,manuscript,,Persian_MS_394,"Table of Contents: Written upon the second to fourth right flyleaves (ff. iia–ivb), likely inscribed by Muhīn Dāsthe attendant to former owner Colonel George William Hamilton. Inscriptions: The first right flyleaf a side (f. ia) bears the title of the volume and the name of former owner Colonel George William Hamilton. Dated notations on folio 1a: Top-right: Note in red dated Ramaz̤ān 1237 AH (22 May– 19 June 1822 CE) with a second in black dated Ramaz̤ān 1241 AH (9 Apr.–7 May 1826 CE) Top-left: Note to the left to the seal of Nāṣir al-Dīn Ḥaydar Shāh (1803–1837, r. 1827–1837) dated 25 Ṣafar 1237 AH (9 Sept. 1826 CE), with another underneath dated 17 Rabī‘ II 1256 AH (8 June 1840 CE). Centre-bottom Note underneath the seal of Amjad ‘Alī Shāh (1801–1847, r. 1842–1847) dated 29 Rabī‘ I 1260 AH (18 apr. 1844 CE), with another underneath dated 11 Muḥarram 1262 AH (9 Jan. 1846 CE). Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 1/C, and Hamilton MSS No. 311 with the name and number crossed out and Persian and 394 written aside.",second to fourth right flyleaves (ff. iia–ivb); left pastedown; first right flyleaf a side (f. ia); 1a,iia Inner_back_cover ia 1a,ivb Inner_back_cover ia 1a,,,,,,,"Colonel George William Hamilton; Colonel George William Hamilton; Nāṣir al-Dīn Ḥaydar Shāh (1803–1837, r. 1827–1837); Amjad ‘Alī Shāh (1801–1847, r. 1842–1847)",person_f830 person_265857376 person_9680150325559110090006,,,,,,
Persian_MS_395_addition_1,manuscript_6892,,Persian_MS_395,,manuscript,,Persian_MS_395,"Inscription: The first right flyleaf bears the title and with the name of former owner Colonel George William Hamilton in Persian, possibly written by his assistant Muhīn Dās: کتاب هشت بهشت تالیف ادریس بن حسام الدین البدلیسی سه ۳ دفتر معه خطبه کرنیل جارج ولیم هملتن صاحب بهادر Bookplates: The left paste-down: Bibliotheca Lindesiana and Hamilton MSS No. 312.",first right flyleaf; left paste-down,ia Inner_back_cover,ia Inner_back_cover,,,,,,,Colonel George William Hamilton,person_f830,,,,,,
Persian_MS_398_addition_1,manuscript_6894,,Persian_MS_398,,manuscript,,Persian_MS_398,"Table of Contents: written in another hand on the third right flyleaf b side to fifth a side (ff. iiib–va). Inscriptions: The second right flyleaf a side (f. iia) bears the name of the title and author, likely in the hand of Muhīn Dās, and assistant to former owner Colonel George William Hamilton. Bookplates: Left doublure: Bibliotheca Lindesiana with shelfmark 1/B, Hamilton MSS No. 315.",the third right flyleaf b side to fifth a side (ff. iiib–va); Left doublure; second right flyleaf a side (f. iia),iiib Inner_back_cover iia,va Inner_back_cover iia,,,,,,,Colonel George William Hamilton,person_f830,,,,,,
Persian_MS_4_addition_1,manuscript_6896,,Persian_MS_4,,manuscript,,Persian_MS_4,"Inscriptions: The right pastedown, Top: £3..3.. Centre: title and author pencilled in an unidentified English hand. Nawwab in English with the date given in given in Hindu-Arabic numerals underneath (and surprising given the ۱۸۰۵ (1805 CE)East India Company watermark dated 1827 evident in the pastedown underneath). The right flyleaf a side (f. ia) repeats the title and author's name in the same unidentified English hand as on the right pastedown opposite. Bookplates: The left pastedown: Bibliotheca Lindesiana with pencilled shelfmark F/12, and Bland MSS No. 14, with the name and number crossed out and Persian and 4 written aside.",left pastedown; right pastedown; right flyleaf a side (f. ia); right pastedown,Inner_back_cover Inner_front_cover ia Inner_front_cover,Inner_back_cover Inner_front_cover ia Inner_front_cover,,,,,,,,,,,,,,
Persian_MS_40_addition_1,manuscript_6897,,Persian_MS_40,,manuscript-composite,,Persian_MS_40,"Inscriptions: The third right flyleaf a side (f. iiia) bears Nº 30 likely in the hand of former owner Adam Clarke The final left flyleaf a side (f. viiia) bears two numbers, crossed out and Nº 84237 above, which correspond to the subsequent sales of the volume. Bookplates: The left pastedown: Bibliotheca Lindesiana with shelf mark F/5 and Bland MSS No. 50 with the name and number crossed out and Persian and 40 written aside.",left pastedown; third right flyleaf a side (f. iiia); final left flyleaf a side (f. viiia),Inner_back_cover iiia viiia,Inner_back_cover iiia viiia,,,,,,,,,,,,,,
Persian_MS_40_addition_2,manuscript_6897,,Persian_MS_40,,part,,manuscript_6897-part2,"Inscriptions: Page 1 inscribed R. Forbes and underneath Battle of the Cat and the Mice, probably by former owner Hon. Robert Forbes.",1,1.0,1.0,,,,,,,Hon. Robert Forbes,person_f6557,,,,,,
Persian_MS_403_addition_1,manuscript_6899,,Persian_MS_403,,manuscript,,Persian_MS_403,"Inscriptions: The right pastedown bears the title and author's name in transliterated Latin script. The right flyleaf a side (f. ia) bears the Persian title, author, and brief description of the contents, likely in the hand of his assistant Muhīn Dās, assistant to former owner Colonel George William Hamilton (1807-1868). Folio 1a bears a notation naming the title and author, dated 5 Rabī‘ I 1233 AH (13 Jan. 1818 CE), next to the numbers 390 and 392 Bookplates: Left pastedown: Bibliotheca Lindesiana with pencilled shelfmark 2/K, and Bland MSS No. 327.",Left pastedown; right pastedown; right flyleaf a side (f. ia); 1a,Inner_back_cover Inner_front_cover ia 1a,Inner_back_cover Inner_front_cover ia 1a,,,,,,,Colonel George William Hamilton (1807-1868),person_f830,,,,,,
