metadata: binding UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,overview: binding,overview: condition,overview: decoration,date: contemporary,date: when,date: not before,date: not after,date: certainty,date: calendar,dimensions: height,dimensions: height max,dimensions: height min,dimensions: width,dimensions: width max,dimensions: width min,dimensions: depth,dimensions: depth max,dimensions: depth min,dimensions: unit
Persian_MS_246_binding_1,manuscript_6731,,Persian_MS_246,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed, with only primary endbands sewn over a cord head and tail. Rebound, tight-backed in full, smooth red goatskin leather over pasteboards with internal doublures of the same goatskin leather, and flattened, cut-off headcaps at head and tail. Boards attached by means of handmade paper hinges, with the edges put down on the boards decoratively cut with zig-zags. Flyleaves of comparatively thin-weight, buff-coloured, paper, probably handmade in India, with ~8 laid lines per cm and occasional chain lines.; 222 162 32","Handle with caution. In fair condition, with extensive abrasion and staining, especially at the head of the spine. Flyleaves extensively insect damaged. White salts (spew) present on the doublures that resulted from prolonged exposure to moisture.","Boards decorated with paper onlays repeatedly stamped with the same scalloped arabesque palmette designs, (typically employed for detached pendants), four times in the centres in lieu of the usual mandorlas, and again above and below connected by a single yellow rule dividing the middles, and a double-rule of the same along the perimeters. Spine subsequently titled in gold HAFT PEIKER and LEIDLI MEJNUN, divided by a segment of a triple-fillet usually employed for mitred corners.",,,1678,1824,,,222.0,222.0,222.0,162.0,162.0,162.0,32.0,32.0,32.0,mm
Persian_MS_249_binding_1,manuscript_6734,,Persian_MS_249,,"Covered in full, polished black, very fine-grained probably calfskin leather, over thin pasteboard with fore-edge and envelope flap (hence type II binding per Déroche, with flap), with minimal insect damage. Repairs to the head and tail edges and fore-edge of the right board in thinned black goatskin leather, with heavier patches applied to the head and tail of the spine. Thick, bone-coloured European wove endpapers. Envelope flap interior lined with the same goatskin leatherused for exterior repairs. ; 172 105 18",handle with caution. In fair condition. The binding separates from the text block.,"Boards stamped with central mandorlas with floriate arabesque scrollwork and a smaller medallion featuring a lotus design upon the envelope flap exterior. Once repaired, a binder titled the spine at the head in gold with handle letters Diwan Shahi M.S. Further decorated with thin and thick blind fillet lines on the boards, with centring marks adjacent to the blocked impressions, and vertical blind fillet lines on the fore-edge flap.",,,1500,1700,,#Gregorian,172.0,172.0,172.0,105.0,105.0,105.0,18.0,18.0,18.0,mm
Persian_MS_250_binding_1,manuscript_6736,,Persian_MS_250,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather. Due to prolonged exposure to moisture, the exterior now appears a mottled medium-brown, but the original maroon hue remains evident on the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves, with strips of paper adhered vertically the joins. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines.; 264 161 19","Handle with caution. In fair condition, with extensive staining, after exposure to prolonged moisture, especially at the spine and tail edge. Upper grain layer delaminated in areas. Insect damage to the upper headcap left the endband exposed the endband. The moisture caused the interior pasteboards to swell and delaminate internally, which resulted in the boards bulging, hence they now feel soft and flexible, with the right doublure separating at the fore-edge. Boxed.","Boards uniformly decorated together with the other volumes as a set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants, but only the latter remains on the left board exterior. Two single gold ruled lines drawing vertically and horizontally across the centres of both boards, with a wide rule with single lines on either side surrounding the perimeters, also in gold, with the wider one repeatedly stamped with insular dots.",,,1694-12-28,1850,,,264.0,264.0,264.0,161.0,161.0,161.0,19.0,19.0,19.0,mm
Persian_MS_251_binding_1,manuscript_6737,,Persian_MS_251,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads, with the one at the head largely abraded.. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather, originally maroon-coloured but due to prolonged exposure to moisture now appears a mottled medium-brown, but the original hue remains evident on the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves, with a strip of paper adhered over top to disguise the join. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines.; 266 161 19","Handle with caution. In fair condition, with extensive staining, after exposure to prolonged moisture, especially at the spine and tail edge. Upper grain layer delaminated in areas. Endbands loose and abraded. The moisture caused the interior pasteboards to swell and delaminate internally, which forced the boards bulge, hence they now feel soft and flexible, with the right doublure separating at the fore-edge.","Boards uniformly decorated together with the other volumes as a set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants, but none of the onlays remain.",,,1694-12-28,1850,,,266.0,266.0,266.0,161.0,161.0,161.0,19.0,19.0,19.0,mm
Persian_MS_252_binding_1,manuscript_6738,,Persian_MS_252,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads, with the one at the head largely abraded. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather, originally maroon-coloured but due to prolonged exposure to moisture now appears a mottled medium-brown, but the original hue remains evident on the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves, with a strip of paper adhered over top to disguise the join. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines, the latter also added as flyleaves to other volumes in the set when restored. ; 266 161 19","Handle with caution. In fair condition, with extensive staining, after exposure to prolonged moisture, especially at the spine and tail edge. Upper grain layer delaminated in areas. The moisture caused the interior pasteboards to swell and delaminate internally, which resulted in the boards bulging, hence they now feel soft and flexible.","Boards uniformly decorated together with the other volumes as a set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants, but only the mandorla on the right board exterior remains. Paper label adhered to spine bears the Arabic letter nūn (ن), and the volume number also appears written on the right board exterior, both in gold nasta‘līq. When originally lined up on the shelf, all of the letters would read مثنوی Mas̲navī",,,1694-12-28,1850,,,266.0,266.0,266.0,161.0,161.0,161.0,19.0,19.0,19.0,mm
Persian_MS_253_binding_1,manuscript_6739,,Persian_MS_253,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads, with the one at the head largely abraded.. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather, originally maroon-coloured but due to prolonged exposure to moisture now appears a mottled medium-brown, but the original hue remains evident on the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves, with a strip of paper adhered over top to disguise the join. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines, the latter also added as flyleaves to other volumes in the set when restored.; 266 161 16","Handle with caution. In fair condition, with extensive staining, after exposure to prolonged moisture, especially at the spine and tail edge. Upper grain layer abraded in areas. The moisture caused the interior pasteboards to swell and delaminate internally, which resulted in the boards bulging and buckling, hence they now feel soft and flexible.","Boards uniformly decorated together with the other volumes as a set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants, but none remain. Paper label adhered to spine bears the Arabic letter vāv (و), and the volume number also appears written on the right board exterior, both in gold nasta‘līq. When originally lined up on the shelf, all of the letters would read: مثنوی Mas̲navī",,,1694-12-28,1850,,,266.0,266.0,266.0,161.0,161.0,161.0,16.0,16.0,16.0,mm
Persian_MS_254_binding_1,manuscript_6740,,Persian_MS_254,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads, with the one at the head largely abraded. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather, originally maroon-coloured but due to prolonged exposure to moisture now appears a mottled medium-brown, but the original hue remains evident on the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves, with a strip of paper adhered over top to disguise the join. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines, the latter also added as flyleaves to other volumes in the set when restored.; 266 161 17","Handle with caution. In poor condition, with the textblock pulling away from the binding. The exterior suffers from extensive staining, after exposure to prolonged moisture, especially at the spine and tail edge. Upper grain layer delaminated in areas. The moisture caused the interior pasteboards to swell and delaminate internally, which resulted in the boards bulging, hence they now feel soft and flexible.","Boards uniformly decorated together with the other volumes as a set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants, but no onlays remain. Paper label adhered to spine bears the Arabic letter yā (ي), and the volume number also appears written on the right board exterior, both in gold nasta‘līq. When originally lined up on the shelf, all of the letters would read: مثنوي Mas̲navī",,,1694-12-28,1850,,,266.0,266.0,266.0,161.0,161.0,161.0,17.0,17.0,17.0,mm
Persian_MS_255_binding_1,manuscript_6741,,Persian_MS_255,,"Textblock repaired and resewn after suffering significant water and insect damage, at two unsupported stations. Edges trimmed and coloured yellow. Twined chevron endbands worked at head and tail in silver and possibly indigo silk threads, with the one at the head largely abraded. Rebound with very thin pasteboardsin full, tight-backed smooth goatskin leather, originally maroon-coloured but due to prolonged exposure to moisture now appears a mottled medium-brown, but the original hue remains evident on the left board and the turn-ins. Internal doublures of the same goatskin leather, with the excess width put down as hinges attached to the first and last flyleaves and a strip of paper adhered over top to disguise the join. Earlier flyleaves of thin-weight, cream-coloured, heavily flocked handmade paper, and a comparatively bright, ivory-coloured, medium-weight, sturdy paper, added when restored, both probably handmade in the Indian subcontinent with ~8 laid lines per cm and few discernible chain lines, the latter also added as flyleaves to other volumes in the set when restored.; 262 159 16","Handle with caution. Very tight opening, only to about 45º. In fair condition, with extensive staining after exposure to prolonged moisture, especially at the spine and tail edges. Upper grain layer abraded in areas. The moisture caused the interior pasteboards to swell and delaminate internally, and forced the boards to bulge and buckle, with the doublure of the left board separating on the fore-edge.","Boards originally uniformly decorated together with the other volumes in the set, with recessed gilt paper onlays for the central scalloped mandorlas and detached pendants; however, none remain. Remnants of a paper label adhered to spine, with the volume number written in Persian on the right board exterior in gold ink in nasta‘līq script.",,,1694-12-28,1850,,,262.0,262.0,262.0,159.0,159.0,159.0,16.0,16.0,16.0,mm
Persian_MS_262_binding_1,manuscript_6749,,Persian_MS_262,,"Originally bound in the Indian subcontinent then later restored in Europe.; Sewing undetermined due to tight gutters. Edges trimmed, and chevron endbands of yellow and blue threads twined at head and tail, now deteriorated. Originally covered in dark brown goatskin leather. Original boards mended by covering the spine and board edges in medium-brown goatskin leather and block-printed decorated endpapers.; 275 174 52","Handle binding with caution. In poor condition, with the right board broken but still attached, with extensive insect and water damage on the original boards, and significnt surface abrasion to the repair leather.","Original boards decorated with scalloped central mandorlas and detached pendants, possibly also cornerpieces. Subsequently blind-tooled after restoration on the repair leather with a wide decorative roll featuring cartouches with a sunburst alternating with scrollwork designs on the board margins and spine. The latter also bears a later green goatskin leather label titled in gold: DIVAN HAFEZ PERS M.S.",,,1775,1838,,,275.0,275.0,275.0,174.0,174.0,174.0,52.0,52.0,52.0,mm
Persian_MS_263_binding_1,manuscript_6750,,Persian_MS_263,,"Probably bound in Britain.; Endpapers of British-made paper with ~10 laid lines per cm and 26 mm. between laid lines, watermarked with an heart-shaped VEIC (, dated East India Company) insignia1808: 128 58 Counter marked: , of S. Wise & PatchStacey Wise (1783–1842) in partnership with Christopher Patch (fl. 19th c.) who then operated the Padsole Mill in Maidstone, Kent. 17 170 ; Resewn on five recessed cord supports laced into pasteboards. Edges trimmed, with decorative front-bead endbands sewn in yellow and while silk threads at head and tail. Covered in full medium brown goat or sheepskin leather.; 316 201 46","Binding in good condition, with wear to the original boards, and significant surface abrasion to the repair leather.","Boards and spine decorated with ""tree-calf"" style marbling on the exterior after covering. Spine panels tooled with large meanders, with double-fillet, single rope lines, dotted palette designs, and a large open rope line at the tail, together with central motifs of a crown and crossed swords, as well as a red skiver sheepskin leather label titled HAFIZ, all in gold. Board edges tooled with thick solid and thin broken diagonal lines, and headcaps with perpendicular single fiullet lines, also all in gold.",,,1775,1838,,,316.0,316.0,316.0,201.0,201.0,201.0,46.0,46.0,46.0,mm
Persian_MS_266_binding_1,manuscript_6753,,Persian_MS_266,,"While it lacks a binder's ticket, the style matches others rebound for Lord Crawford by Fazakerley of Liverpool, half-bound in dark blue morocco-grain goatskin leather. Paper sides of British-made dark blue moirée Spanish patterned with printed marbled gold veins.; 241 162 11",In good condition.,gold fillet lines. Spine features blind and gilt fillet lines with full titling.,,,1866,1880,,,241.0,241.0,241.0,162.0,162.0,162.0,11.0,11.0,11.0,mm
Persian_MS_267_binding_1,manuscript_6754,,Persian_MS_267,,"Original binding probably contemporary, completed in Calcutta (Kolkata)for Sir William Jones, subsequently resewn and rebacked.; Originally covered in full medium brown goatskin over pasteboards, with internal doublures of red goatskin leather, flush-cut edges, without a flap (Type III binding per Déroche).; Modern resewing at four unsupported stations with polyester thread, with original endpapers retained. Endbands omitted. Spine rebacked in dark brown goatskin leather, and internal hinges of red goatskin leather added to reconnect the cover to the textblock.; 241 151 31","Handle binding with caution. In fair but stable condition, with leather onlays abraded. Boards yawning due to tight resewing with overly-thin thread.","Boards decorated with onlays of central scalloped mandorlas, detached pendants, and cornerpieces with floratiate scrollwork designs and birds in the centres, blocked in gold leaf. Central decoration ruled with single ochre lines that connect the central decoration, surrounded by that connect the and cornerpieces and on the external margins.",,,1775,1838,,,241.0,241.0,241.0,151.0,151.0,151.0,31.0,31.0,31.0,mm
Persian_MS_27_binding_1,manuscript_6757,,Persian_MS_27,,"Joseph Clarke describes the present binding, hence necessarily rebound before 1835. While it lacks his binder's ticket, the style closely comports with others by the London bookbinding firm of Charles Lewis (1786-1836). Sewn on four sawn-in cords, then laced into the pasteboards. Decorative front-bead endbands at head and tail worked in yellow silk thread. Bound in full crimson straight-grained morocco goatskin leather with four false bands over a hollow tube on the spine.; 245 176 36",,"Elegantly tooled in both blind and gold leaf with an interlaced diaper and square on the boards interspersed with as well as the spine, which is title BAHARISTAN.",,,1800,1835,,#Gregorian,245.0,245.0,245.0,176.0,176.0,176.0,36.0,36.0,36.0,mm
Persian_MS_28_binding_1,manuscript_6768,,Persian_MS_28,,"Probably rebound in the Indian subcontinent for an unidentified former owner.; Sewn at two stations, unsupported. Edges trimmed and traces of endband threads remaining at the head and tail, now lost. Covered in full black morocco goatskin leather over pasteboards, flush-cut, but without a flap (Type III binding per Déroche). Spine subsequently rebacked in medium-brown goatskin leather, with repairs to the upper corners of the boards exeuted in medium brown calfskin. The interior now bears thin-weight, bright blue machine-made paper flyleaves with a serrated decorative cut hinges applied to the doublures when last repaired over top of earlier rehinging in red leather, attesting to repeated repairs to the same binding.; 196 131 25","Handle binding with caution. In poor condition, with friable leather and severely damaged decoration, extensive water stains to the doublures, and weak joints.","Remnants of of gold blocked paper onlays that feature large lotus blossoms for the scalloped mandorlas, together with quatrefoil pendants floral scrollwork cornpieces, all since severely abraded and damaged, with those on the right board exterior delaminated and readhered out of place, perhas as a result of water damage.",,,1700,1830,,,196.0,196.0,196.0,131.0,131.0,131.0,25.0,25.0,25.0,mm
Persian_MS_281_binding_1,manuscript_6770,,Persian_MS_281,,Spine and board edges hemmed in and faced with marbled paper. Spine titled Diwan Heidar in Latin script.,,,,,,,,,,,,,,,,,,
Persian_MS_285_binding_1,manuscript_6774,,Persian_MS_285,,"Bound in medium brown sheepskin leather over pasteboards, with later rebacked spine and board edges hemmed in dark red goatskin leather, and internal doublures of the same leather. The original binding likely once had a flap but then subsequently repaired without it (hence now a Type III binding as per Déroche).; 206 130 29","In poor condition, with extensive water damage, resulting in leather shinkage on the exterior that exposes the boards, with subsequent repairs along the spine and board edges delaminating.","Originally stamped in blind with a central medallion with floral scrollwork and detached pendants with a lotus design, and corners with the same, all stamped on recessed thin leather onlays, all now highly abraded. Rebacked spine panels paletted in gold with a circle-and-dart design with a fine rope tool on either side, and prominent lyres in the centres (the same appears on ). Titled Persian MS 109Misbah Reshidi on the spine with handle-letters in Latin script.",,,1750,1825,,,206.0,206.0,206.0,130.0,130.0,130.0,29.0,29.0,29.0,mm
Persian_MS_287_binding_1,manuscript_6776,,Persian_MS_287,,"Possibly rebound for former owner Samuel Guise. Resewn on four raised cord supports, laced into the pasteboards. Covered in European-style, quarter spattered calfskin leather, tight-backed, with Stormont marbled paper sides.; 204 124 15","Handle with caution. In fair condition. Top headcap on spine missing, board edges abraded, and opening to the gutter margins restricted.",,,,1750,1792,medium,#Gregorian,204.0,204.0,204.0,124.0,124.0,124.0,15.0,15.0,15.0,mm
Persian_MS_289_binding_1,manuscript_6778,,Persian_MS_289,,"Since Adam Clarke's catalogues describe a different binding, it appears that Nathaniel Bland probably had the volume rebound in its present European style binding.; Endpapers of thick wove paper added to the beginning and end. Resewn single-flexible on four raised cords, laced into pastebaords. Edges trimmed, coloured red, but endbands omitted at head and tail. Spine covered in quarter black goatskin leather, with cords in the headcaps, and the boards faced with 'Old Dutch' comb-patterned marbled papers.; 244 147 34","Binding in good condition, albeit tight sewing restricts opening to the gutter margins.","Spine blind-palletted with triple fillet lines by the bands, and along the overlapped paper facing the boards.",,,1775,1838,,,244.0,244.0,244.0,147.0,147.0,147.0,34.0,34.0,34.0,mm
Persian_MS_29_binding_1,manuscript_6779,,Persian_MS_29,,"Probably rebound in a European manner former Edward Galley, possibly in Surat; Text remargined and endpapers of the same paper added at beginning and end. Sewn on three cord supports, laced into pasteboards. Edges trimmed, with front-bead decorative endbands sewn at head and tail. Covered in full medium-brown goatskin leather. ; 200 131 29","Binding in good condition, with boards warped and yawning.",The Right board bears a paper label with the title and author's name in Persian. Spine lettered with the transliterated title in gold.,,,1775,1804,,,200.0,200.0,200.0,131.0,131.0,131.0,29.0,29.0,29.0,mm
Persian_MS_3_binding_1,manuscript_6790,,Persian_MS_3,,"Binding of shagreen leather, probably contemporary with the manuscript.; The final two left flyleaves (ff. ii–iii) of ivory-coloured paper, sized and quickly polished, with ~8 lines per cm probably added when previously restored. Subsequently resewn on four recessed cords, with 20th-c. peach-tinted machine-made laid endpapers added and the spine replaced, tight-backed, with green goatskin leather. ; 342 196 45",Hand binding with cuation. In fair but sound condition; with exterior decoration abraded and losses to the interior filigree. Boxed.,"Boards decorated with finely gold blocked central scalloped medallions medallions (flowers) and pendants (rabbits). Internal doublures of red goatskin leather, inlaid with painted blue, green, and red recessed central medallions and detached pendants overlaid with gilt leather filigree inset flush with the surface.",,,1600,1700,,,342.0,342.0,342.0,196.0,196.0,196.0,45.0,45.0,45.0,mm
Persian_MS_30_binding_1,manuscript_6791,,Persian_MS_30,,"Covered in full early nineteenth-century alizarin-coloured, pebble-grained starch-filled buckram (type III binding per Déroche, without flap).; Flyleaves of British-made predominantly medium-gray spotted Spanish wave patterned marbled endpapers.",,,,,1830,1850,,,,,,,,,,,,
Persian_MS_300_binding_1,manuscript_6792,,Persian_MS_300,,"Very likely bound in Surat. Sewn at two unsupported stations. No endbands. Covered in an Indian style binding full, tight backed, red goatskin leather over pasteboards, without a flap (Type III binding as per Déroche), without squares so flush with the edges of the textblock, with the boards are back-cornered and defined joints.; 254 146 17","Handle with caution. In fair condition, with sewing broken in the first section.","Boards decorated with blocked silver paper onlays (now darkly tarnished), featuring scalloped central mandorlas featuring quintafoil scrollwork, detached quatrefoil floral pendants, floral scrollwork corners. Board perimeters bounded by a wide floral scrollwork band embossed with a decorative roll on pink paper. Thin yellow single ruled lines connect the central decoration, surround the corners, and either side of the embossed pink paper border. Titled 'Zertusht Nameh' in gold on the spine. Note , Persian MS 41, and Persian MS 301 blocked with the same dies. Unusual decorated papers for the doublures.Persian MS 926",,,1750,1795,,,254.0,254.0,254.0,146.0,146.0,146.0,17.0,17.0,17.0,mm
Persian_MS_301_binding_1,manuscript_6793,,Persian_MS_301,,"Probably bound in Surat for former owner Samuel Guise. Sewn at three stations, possibly laced or bridled into the pasteboards, cut flush with the edges of the textblock and back-cornered, with defined exterior joints. Covered in an Indian-style binding in full, tight backed, red goatskin leather, without a flap (Type III binding per Déroche). ; 212 126 12",,"Boards decorated with blind stamped silver paper onlays (now darkly tarnished), with a scalloped central mandorla with quintafoil scrollwork, detached quatrefoil floral pendants, floral scrollwork scalloped corners. The perimeters of the boards are framed in a wide floral scrollwork band embossed with a decorative roll on pink paper. Thin yellow ruled single lines criss-cross the central decoration, surround the corners, and both sides of the embossed pink paper border. with the same blocked designs as on Rylands , Persian MS 41300, and 926. Titled Chenghrenghachah Nameh in gold on the spine.",,,1750,1795,,,212.0,212.0,212.0,126.0,126.0,126.0,12.0,12.0,12.0,mm
Persian_MS_305_binding_1,manuscript_6797,,Persian_MS_305,,"Sewn on four sawn-in cords then laced into the pasteboards. Bound in India tight-backed in full artificially-grained and polished red goatskin, with squares at the edges, but no endbands. Spine titled at the head in gold handle-letters: BAHA- RISTAN OF JAMI MS.. Endleaves of heavier Indian handmade paper.; 220 157 16",Handle with care. Binding scuffed on the exterior and abraded at head and tail of the spine,,,,1775,1790,,,220.0,220.0,220.0,157.0,157.0,157.0,16.0,16.0,16.0,mm
Persian_MS_306_binding_1,manuscript_6798,,Persian_MS_306,,"Bound in an Ottoman-style, full, tight-backed, highly-polished dark brown goatskin leather with a flap (type II binding per Déroche). Spine later rebacked and fore-edge flap reattached with dark brown goatskin leather, with naturally-coloured sheepskin leather added to line the interior of the latter.; 192 130 15",,"Blind stamped with a scalloped central mandorla medallion with floral scrollwork in centres of the boards, and a similarly-decorated smaller medallion on the flap. Thick-and-thin fillet marginal lines on the perimeters of the boards. Endpapers of modern mould-made laid paper added when restored.",,,1568-06-01,1700,,#Hijri-qamari,192.0,192.0,192.0,130.0,130.0,130.0,15.0,15.0,15.0,mm
Persian_MS_307_binding_1,manuscript_6799,,Persian_MS_307,,"The binding probably dates to the 17th to 18th centuries; however, former owner Sir Gore Ouseley subsequently had the volume restored and rebacked in Britain.; Previously bound in a full maroon goatskin leather over pasteboards, with internal doublures painted black. Subsequently resewn upon three sawn-in cords, then laced into the original pasteboards. New made flyleaves of ivory-coloured wove and flocked greenish-gray paper added when restored. Edges ploughed, spattered in gray-blue, and polished, resulting in squares along the edges. European-style front-bead decorative endbands of yellow and black silk threads sewn over a flat core at head and tail. Spine recovered in tan calfskin leather, with internal hinges of the same added to the interiors.; 290 180 48","Handle binding with caution. In fair condition, with extensive abrasion and losses on the outside.","Boards decorated with recessed scalloped central mandorlas, detached pendants, corners, and cartouches in the surrounding border.",,,1600,1840,,,290.0,290.0,290.0,180.0,180.0,180.0,48.0,48.0,48.0,mm
Persian_MS_308_binding_1,manuscript_6800,,Persian_MS_308,,"Probably restored, remargined, and rebound in a hybrid British-Indian style in the Indian subcontinent in the early nineteenth century. Single-flexible resewing on four raised cords, edges trimmed, with twined chevron endbands worked in red silk and silver threads. Recovered in full red goatskin leather, without a flap (type III binding per Déroche). Endpapers bear a Britannia watermark on the left paste-down, and countermarked then owned and operated by partners Ruse and Turners 1818Joseph Ruse, Richard Turner, and Thomas Turner at the Upper Tovil Mill, Maidstone, Kent; 260 149 50","Binding in good condition, although the spine appears concave, resulting from extensive use.","Boards blocked with a scalloped central mandorlas, detached pendants, and corners in blind.",,,1818,1850,,,260.0,260.0,260.0,149.0,149.0,149.0,50.0,50.0,50.0,mm
Persian_MS_309_binding_1,manuscript_6801,,Persian_MS_309,,"Bound by Robert MacCulloch (fl. 1827–1834) in Mirzapore, Calcutta (Kolkata). According to East India Company records (Z/O/1/10 No. 6261, spelled McCulloch) obtained a bond and covenant with security of £500 to reside in Bengal, sponsored by Edinburgh bookbinders Archibald Sinclair of Shakspear Square, and James Marsh of Nether Bow, Edinburgh. An earlier record (N/1/12 f.44) recording the baptism of one John McCullock, son of bookbinder Robert born at Fort William in 1822 likely references to the same individual.; Abbreviated sewing on three recessed cords with linen thread. Cloth endbands of the same linen applied to head and tail. Quarter bound by in starch-filled linen R. MacCulloch, 145 Mirzapore, Calcutta cloth, gray-brown British shell patterned marbled paper sides, light brown sprinkled edges, and European wove paperendpapers.; 252 162 41","Handle with caution: in fair condition, abrasion to the edges and headcaps.",Red sheepskin skiver leather label applied to the spine titled TUSKIRAH I DOULET SHAHW in gold.,,,1822,1850,,#Gregorian,252.0,252.0,252.0,162.0,162.0,162.0,41.0,41.0,41.0,mm
Persian_MS_31_binding_1,manuscript_6802,,Persian_MS_31,,"Resewn at four stations, possibly on supports, but without endbands. Bound in a fairly modern binding, probably in India, in smooth, fine-grained, polished red goatskin leather flush with the edges and without a flap (type III binding per Déroche). Boards blind-stamped with scalloped central medallions, detached pendants and corner-pieces engraved with floral scrollwork. Internal doublures of the same red leather as the exterior. Spine rebacked in goatskin leather, with repairs to the top edges of the boards and new hinges of the same leather. Flyleaves of modern European wove cream-coloured and orange-tinted cross-grained laid paper; 274 173 17",Handle with caution. In fair condition. Spine linings restrict the text block opening.,,,,1750,1810,,,274.0,274.0,274.0,173.0,173.0,173.0,17.0,17.0,17.0,mm
Persian_MS_310_binding_1,manuscript_6803,,Persian_MS_310,,"Resewn in Europe on four recessed supports, laced into wooden boards, with gilt and gauffered edges and silk decorative endpapers sewn at head and tail. Blue made endpapers, adhered to flyleaves watermarked manufactured by the J. Whatman 18??Whatman Paper Mill in , then owned and operated by Maidstone, KentWilliam Balston (1759–1849).; 233 167 57",Binding in excellent condition.,"Board exteriors sculpted with raised central diamonds and triangular corners, with intervening chased recesses. Elegantly tooled exteriors feature large central open scrollwork floral designs and cornerspieces, with single fillet lines with solid and insular dots at the joins, scrollwork blossoms at the tips of the central diamonds and outer corners, with small profile blossoms in the inner corners of the recesses, all in gold. Interior dentelles bear repeated large cruciform designs impressed in rows, bounded by single fillet lines, with scrollwork sqaured corners, and solid dots at the joins in gold, and a dot-and-dart design along the exteriors in blind, and a decorative roll featuring alternating palmettes and insular dots, with the same profile blossoms at the corners as observed on the board exteriors, impressed upon the perimeters of the blue paper pastedowns.",,,1783,1840,,,233.0,233.0,233.0,167.0,167.0,167.0,57.0,57.0,57.0,mm
Persian_MS_312_binding_1,manuscript_6805,,Persian_MS_312,,"Likely rebound for John Herbert Harington (1765–1828) in ca. 1800.; Resewn on three sawn-in cords laced into the pasteboards, with added British wove endpapers. Textblock edges trimmed and spattered in blue. Covered in an a British-style full calfskin leather tight-backed and tight-jointed binding. Since depressions of a sunken mandorla and detached finials appear evident under the pastedowns, it seems that the bookbinder recovered the original boards after turning them inside-out.; 232 167 64","Handle with caution. Binding in fair condition, with exterior cover abrasion, bumped corners, and endbands missing at head and tail.","Board exteriors spattered in black, probably to the book after rebinding. Board margins decorated with a foliate decorative roll, and the edges rolled with diagonal thick solid and double thin dotted lines in gold. Spine panels palleted with pairs of double-fillets, with perpendicular single rope lines on the headcaps and criss-crossed by the tail, along with central panel ornaments featuring a bird with outstretched wings in a landscape, and titled TUSKEEREH AL SHOARA M. S. also all in gold.",,,1770,1828,,#Gregorian,232.0,232.0,232.0,167.0,167.0,167.0,64.0,64.0,64.0,mm
